strassen
64|0.000118 0.000006 0.000118|
128|0.000837 0.000014 0.000837|
256|0.006078 0.000042 0.006078|
512|0.042924 0.000162 0.042923|
1024|0.300273 0.001069 0.300271|
2048|2.082980 0.001859 2.082979|
4096|14.500832 0.014658 14.500824|
